Manager_Name,preferred_formation,profile,team_style,pressing_intensity,defensive_line
Sinisa Mihajlovic,4-2-3-1,attacking,possession,0.89,high
Stefano Colantuono,3-5-2,balanced,flexible,0.61,medium
Stefano Pioli,4-2-3-1,attacking,gegenpress,0.83,high
Steve Cooper,4-2-3-1,balanced,pragmatic,0.64,medium
Steve Davis,4-3-3,balanced,flexible,0.62,medium
Steven Gerrard,4-3-3,balanced,possession,0.51,medium
Stéphane Gilli,5-3-2,attacking,possession,0.85,high
Stéphane Le Mignan,3-5-2,attacking,possession,0.75,high
Stéphane Nado,3-4-3,balanced,flexible,0.69,medium
Sébastien Bichard,3-4-3,balanced,flexible,0.63,medium
Sébastien Tambouret,3-4-3,balanced,flexible,0.5,medium
Thiago Motta,4-2-3-1,attacking,possession,0.83,high
Thomas Frank,3-5-2,balanced,pragmatic,0.59,medium
Thomas Reis,3-4-3,defensive,direct,0.24,medium
Thomas Wörle,4-2-3-1,balanced,possession,0.71,medium
Timo Rost,3-4-2-1,balanced,direct,0.64,medium
Timo Schultz,3-4-2-1,balanced,flexible,0.53,medium
Tobias Schweinsteiger,3-4-2-1,attacking,gegenpress,0.72,high
Uli Forte,3-4-2-1,balanced,possession,0.48,medium
Uwe Speidel,5-3-2,attacking,gegenpress,0.8,high
Veljko Paunovic,4-4-2,attacking,possession,0.75,high
Vicente Moreno,3-4-2-1,defensive,counter,0.39,low
Vincenzo Vivarini,4-1-4-1,defensive,counter,0.25,low
Vladimir Petkovic,3-4-3,defensive,pragmatic,0.26,low
Voro,4-1-4-1,attacking,gegenpress,0.77,high
Vítor Pereira,3-5-2,balanced,direct,0.7,medium
Walter Mazzarri,3-4-2-1,defensive,pragmatic,0.51,low
Will Still,4-2-3-1,attacking,possession,0.79,high
Xabi Alonso,3-4-2-1,attacking,possession,0.86,high
Xavi,4-3-3,attacking,possession,0.91,high
Xavier García Pimienta,4-3-3,attacking,possession,0.91,high
Álvaro Cervera,4-1-4-1,defensive,counter,0.22,low
Álvaro Rubio,3-4-2-1,defensive,counter,0.24,low
Álvaro del Moral,5-3-2,attacking,possession,0.84,high
Éric Roy,4-3-3,balanced,flexible,0.49,medium
Óscar García,4-2-3-1,defensive,pragmatic,0.3,low
Kieran Schulze-Marmeling,3-4-2-1,balanced,flexible,0.57,medium
Achim Beierlorzer,4-2-2-2,attacking,hard,0.7,high
André Breitenreiter,4-4-2,balanced,neutral,0.46,mid
Benjamin Hoffmann,4-3-3,attacking,neutral,0.67,high
Bo Henriksen,3-4-2-1,attacking,hard,0.72,high
Bruno Labbadia,4-3-3,balanced,hard,0.57,mid
Christian Streich,3-4-2-1,balanced,hard,0.73,mid
Daniel Bauer,4-2-3-1,balanced,neutral,0.26,mid
Dennis Schmitt,4-3-3,attacking,soft,0.68,high
Dino Toppmöller,3-4-2-1,attacking,neutral,0.72,high
Edin Terzic,4-2-3-1,balanced,hard,0.64,mid
Marco Grote,4-2-3-1,balanced,hard,0.56,mid
Mark van Bommel,4-2-3-1,balanced,hard,0.61,mid
Matthias Kreutzer,4-2-3-1,defensive,neutral,0.40,low
Nenad Bjelica,4-2-3-1,defensive,hard,0.43,low
Paul Simonis,4-2-3-1,attacking,neutral,0.63,high
Sandro Schwarz,4-3-3,attacking,hard,0.71,high
Tayfun Korkut,4-4-2,defensive,neutral,0.48,low
Thomas Letsch,4-3-3,attacking,hard,0.80,high
