id,name,short_name,country,preferred_formation,formations_used,profile,team_style,pressing_intensity,defensive_line,tactical_styles,matches_total,wins,draws,losses,win_pct,avg_goals_scored,avg_goals_conceded,avg_possession,avg_shots,avg_shots_on_target,avg_xg_for,avg_xg_against,avg_corners,avg_yellow_cards,avg_red_cards,avg_fouls,clean_sheet_pct,btts_pct,over_25_pct,over_15_pct,fail_to_score_pct,avg_goals_scored_1h,avg_goals_conceded_1h,current_team_id,current_team_name
926,Adrián González,A. González,Spain,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1475,Caudal Deportivo
373,Adrian Mihalcea,A. Mihalcea,Romania,4-2-3-1,"{'4-4-2': 2, '4-2-3-1': 31}",balanced,neutral,0.46908355150015946,low,"[{""rank"": 1, ""code"": ""set_piece"", ""name"": ""Set-Piece Reliant"", ""category"": ""defensive"", ""emoji"": ""🎯"", ""description"": ""Goals mainly from corners and free kicks"", ""score"": 0.109}, {""rank"": 2, ""code"": ""cross_pray"", ""name"": ""Cross & Pray"", ""category"": ""wide"", ""emoji"": ""🙏"", ""description"": ""High-volume hopeful crosses into the box"", ""score"": 0.098}, {""rank"": 3, ""code"": ""park_the_bus"", ""name"": ""Park the Bus"", ""category"": ""defensive"", ""emoji"": ""🚌"", ""description"": ""Ultra-deep defense, minimal attacking intent"", ""score"": 0.092}, {""rank"": 4, ""code"": ""wing_play"", ""name"": ""Wing Play"", ""category"": ""wide"", ""emoji"": ""🪽"", ""description"": ""Attacks focused through wide areas"", ""score"": 0.063}]",36,14,11,11,38.9,1.39,1.39,45.72,13.39,4.31,1.25,1.6,4.72,2.16,0.11,11.69,19.4,58.3,50.0,77.8,27.8,0.68,0.63,358,UTA Arad
307,Adrian Siemieniec,A. Siemieniec,Poland,4-2-3-1,"{'4-3-3': 5, '4-4-2': 2, '4-1-3-2': 2, '4-1-4-1': 1, '4-2-3-1': 16, '4-3-2-1': 1, '4-4-1-1': 1}",balanced,neutral,0.6418155868458493,mid,"[{""rank"": 1, ""code"": ""wing_play"", ""name"": ""Wing Play"", ""category"": ""wide"", ""emoji"": ""🪽"", ""description"": ""Attacks focused through wide areas"", ""score"": 0.078}, {""rank"": 2, ""code"": ""cross_pray"", ""name"": ""Cross & Pray"", ""category"": ""wide"", ""emoji"": ""🙏"", ""description"": ""High-volume hopeful crosses into the box"", ""score"": 0.075}, {""rank"": 3, ""code"": ""tiki_taka"", ""name"": ""Tiki-Taka"", ""category"": ""possession"", ""emoji"": ""🎨"", ""description"": ""Short passing, domination via possession"", ""score"": 0.073}, {""rank"": 4, ""code"": ""overload_isolate"", ""name"": ""Overload-to-Isolate"", ""category"": ""possession"", ""emoji"": ""⚖"", ""description"": ""Crowd one side to free the other wing"", ""score"": 0.068}]",32,13,10,9,40.6,1.62,1.31,58.08,14.85,5.08,1.38,1.47,5.54,2.33,0.0,12.92,25.0,68.8,68.8,84.4,18.8,0.72,0.61,420,Jagiellonia Białystok
1136,Adrian Stawski,A. Stawski,Poland,,{},attacking,soft,,,[],5,3,1,1,60.0,2.0,0.6,0.0,,3.5,,,5.5,0.6,0.0,14.0,40.0,40.0,40.0,80.0,20.0,0.4,0.4,1758,Zawisza Bydgoszcz
967,Adrián Vázquez Forján,A. V. Forján,Spain,,{},balanced,soft,,,[],3,1,0,2,33.3,1.67,1.67,,,,,,,0.0,0.0,,33.3,33.3,100.0,100.0,33.3,1.0,1.0,1517,SD Negreira
1051,Ahmed Ait Ouarab,A. A. Ouarab,France,,{},balanced,soft,,,[],4,1,2,1,25.0,1.0,1.25,,,,,,,1.25,0.0,,25.0,75.0,25.0,75.0,0.0,0.25,0.5,1614,Hauts Lyonnais
1277,Ahmed Najar,A. Najar,,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1919,CS Korba
718,Ailton Silva,A. Silva,Brazil,4-3-3,{'4-3-3': 2},attacking,hard,,,[],2,1,0,1,50.0,5.0,4.5,,,,,,,3.5,0.0,,0.0,100.0,100.0,100.0,0.0,0.0,0.5,866,Tirol/CEFAT
919,Aitor Martínez Medina,A. M. Medina,Spain,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1468,Real Ávila CF
1326,Akinobu Yokouchi,A. Yokouchi,Japan,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1970,Montedio Yamagata
1323,Akio Kogiku,A. Kogiku,Japan,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1967,Sagan Tosu
49,Akis Mantzios,A. Mantzios,Greece,4-3-3,"{'4-3-3': 1, '4-2-1-3': 1}",balanced,soft,,,[],2,1,0,1,50.0,1.5,1.5,50.0,,5.0,,,4.0,1.0,0.0,5.0,0.0,50.0,50.0,50.0,50.0,1.5,0.5,676,Cyprus
985,Ákos Simon,Á. Simon,Hungary,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1542,Kelen SC
1044,Alain Pochat,A. Pochat,France,,{},attacking,soft,,,[],5,4,0,1,80.0,2.6,0.6,40.0,5.0,1.0,,,4.0,1.0,0.0,10.0,60.0,20.0,60.0,80.0,20.0,2.2,0.4,1307,Amiens SC
631,Alban Dragusha,A. Dragusha,Kosovo,,{},balanced,soft,,,[],2,1,0,1,50.0,1.0,2.5,,,,,,,,,,0.0,50.0,100.0,100.0,50.0,,,414,FC Prishtina
642,Albert Celades,A. Celades,Spain,4-2-3-1,"{'5-4-1': 1, '3-4-2-1': 2, '4-1-4-1': 1, '4-2-3-1': 6, '4-3-1-2': 1, '4-3-2-1': 1}",balanced,neutral,0.14532425644796376,,"[{""rank"": 1, ""code"": ""park_the_bus"", ""name"": ""Park the Bus"", ""category"": ""defensive"", ""emoji"": ""🚌"", ""description"": ""Ultra-deep defense, minimal attacking intent"", ""score"": 0.266}, {""rank"": 2, ""code"": ""terrorist_fb"", ""name"": ""Terrorist Football"", ""category"": ""fan"", ""emoji"": ""💣"", ""description"": ""Ultra-negative setup — destroy the game"", ""score"": 0.261}, {""rank"": 3, ""code"": ""low_block"", ""name"": ""Low Block"", ""category"": ""defensive"", ""emoji"": ""🛡"", ""description"": ""Compact defensive shape near own box"", ""score"": 0.156}, {""rank"": 4, ""code"": ""chaos_ball"", ""name"": ""Chaos Ball"", ""category"": ""fan"", ""emoji"": ""🎲"", ""description"": ""Embrace pure randomness, anything can happen"", ""score"": 0.065}]",14,6,5,3,42.9,1.14,1.0,37.0,9.5,3.5,0.91,2.04,3.38,2.0,0.0,11.25,42.9,42.9,28.6,57.1,28.6,0.33,0.33,119,Pafos FC
207,Albert Espigares,A. Espigares,Spain,4-1-4-1,"{'3-4-3': 2, '3-5-2': 1, '4-3-3': 1, '4-4-2': 4, '5-3-2': 2, '5-4-1': 6, '3-3-3-1': 1, '3-4-2-1': 3, '4-1-4-1': 9, '4-2-3-1': 2}",balanced,hard,0.5303393666582108,mid,"[{""rank"": 1, ""code"": ""no_midfield"", ""name"": ""No Midfield Just Vibes"", ""category"": ""fan"", ""emoji"": ""🚀"", ""description"": ""Bypass midfield entirely, defend and attack direct"", ""score"": 0.057}, {""rank"": 2, ""code"": ""park_the_bus"", ""name"": ""Park the Bus"", ""category"": ""defensive"", ""emoji"": ""🚌"", ""description"": ""Ultra-deep defense, minimal attacking intent"", ""score"": 0.056}, {""rank"": 3, ""code"": ""terrorist_fb"", ""name"": ""Terrorist Football"", ""category"": ""fan"", ""emoji"": ""💣"", ""description"": ""Ultra-negative setup — destroy the game"", ""score"": 0.054}, {""rank"": 4, ""code"": ""heritage"", ""name"": ""Heritage Football"", ""category"": ""fan"", ""emoji"": ""🪨"", ""description"": ""Old-school physical, long balls and grit"", ""score"": 0.054}]",34,6,7,21,17.6,1.0,2.0,47.97,12.18,4.06,1.08,1.68,4.65,2.06,0.35,12.36,17.6,52.9,61.8,70.6,41.2,0.41,0.41,304,Club Puebla
1039,Alberto Aquilani,A. Aquilani,Italy,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1605,Catanzaro
812,Alberto Gonzalez Fernandez,A. G. Fernandez,Spain,5-3-2,"{'4-3-3': 1, '5-3-2': 1}",balanced,neutral,0.36671598807488204,high,"[{""rank"": 1, ""code"": ""cross_pray"", ""name"": ""Cross & Pray"", ""category"": ""wide"", ""emoji"": ""🙏"", ""description"": ""High-volume hopeful crosses into the box"", ""score"": 0.147}, {""rank"": 2, ""code"": ""set_piece"", ""name"": ""Set-Piece Reliant"", ""category"": ""defensive"", ""emoji"": ""🎯"", ""description"": ""Goals mainly from corners and free kicks"", ""score"": 0.095}, {""rank"": 3, ""code"": ""wing_play"", ""name"": ""Wing Play"", ""category"": ""wide"", ""emoji"": ""🪽"", ""description"": ""Attacks focused through wide areas"", ""score"": 0.083}, {""rank"": 4, ""code"": ""terrorist_fb"", ""name"": ""Terrorist Football"", ""category"": ""fan"", ""emoji"": ""💣"", ""description"": ""Ultra-negative setup — destroy the game"", ""score"": 0.059}]",84,30,25,29,35.7,1.38,1.37,42.8,12.0,3.87,1.21,1.42,4.93,2.02,0.13,12.33,28.6,57.1,51.2,73.8,23.8,0.54,0.6,1395,Albacete Balompié
132,Alberto Valentim,A. Valentim,Brazil,4-3-3,"{'4-3-3': 3, '5-4-1': 1, '4-1-4-1': 1, '4-2-3-1': 1}",attacking,neutral,,,[],6,1,1,4,16.7,1.83,2.83,59.0,11.5,4.5,0.59,1.26,5.5,1.67,0.0,13.0,0.0,83.3,83.3,100.0,16.7,0.17,0.67,838,América Mineiro
410,Albert Riera,A. Riera,Spain,4-2-3-1,"{'3-4-3': 3, '3-5-2': 1, '4-3-3': 4, '4-4-2': 1, '4-5-1': 1, '5-3-2': 1, '3-1-4-2': 1, '3-4-1-2': 2, '3-4-2-1': 10, '4-1-4-1': 3, '4-2-3-1': 12}",attacking,neutral,0.4906440493541046,mid,"[{""rank"": 1, ""code"": ""chaos_ball"", ""name"": ""Chaos Ball"", ""category"": ""fan"", ""emoji"": ""🎲"", ""description"": ""Embrace pure randomness, anything can happen"", ""score"": 0.122}, {""rank"": 2, ""code"": ""inverted_fb"", ""name"": ""Inverted Fullbacks"", ""category"": ""possession"", ""emoji"": ""↩"", ""description"": ""Fullbacks step into midfield to overload centre"", ""score"": 0.063}, {""rank"": 3, ""code"": ""tiki_taka"", ""name"": ""Tiki-Taka"", ""category"": ""possession"", ""emoji"": ""🎨"", ""description"": ""Short passing, domination via possession"", ""score"": 0.059}, {""rank"": 4, ""code"": ""moments_fc"", ""name"": ""Moments FC"", ""category"": ""fan"", ""emoji"": ""⭐"", ""description"": ""Relies entirely on individual star brilliance"", ""score"": 0.058}]",41,13,12,16,31.7,1.76,1.95,51.77,10.97,4.23,1.22,1.62,4.05,1.52,0.0,9.74,22.0,68.3,65.9,87.8,14.6,0.64,0.6,87,Eintracht Frankfurt
1077,Albert Sánchez,A. Sánchez,Spain,,{},attacking,soft,,,[],3,1,1,1,33.3,2.67,1.33,,,,,,,0.0,0.33,,33.3,66.7,100.0,100.0,0.0,1.67,1.0,1640,USL Dunkerque
954,Alejandro Izquierdo Cuadrado,A. I. Cuadrado,Spain,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1505,Atlético Tordesillas
523,Alejandro Orfila,A. Orfila,Uruguay,4-5-1,{'4-5-1': 1},defensive,neutral,,,[],1,0,0,1,0.0,0.0,2.0,50.0,8.0,2.0,0.32,1.2,5.0,2.0,0.0,11.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,788,Cusco FC
516,Alejandro Restrepo,A. Restrepo,Colombia,3-1-4-2,"{'4-3-3': 1, '4-4-2': 1, '5-3-2': 1, '3-1-4-2': 2, '3-4-1-2': 1}",balanced,neutral,,,[],6,2,3,1,33.3,1.17,1.33,52.5,10.0,3.0,0.44,1.5,4.5,2.17,0.17,14.0,16.7,83.3,50.0,83.3,16.7,0.5,0.67,786,Independiente Medellín
422,Aleksandar Emilov Aleksandrov,A. E. Aleksandrov,Bulgaria,4-2-3-1,"{'4-3-3': 1, '4-4-2': 6, '4-1-4-1': 9, '4-2-3-1': 13}",balanced,neutral,0.2481337135599055,mid,"[{""rank"": 1, ""code"": ""no_midfield"", ""name"": ""No Midfield Just Vibes"", ""category"": ""fan"", ""emoji"": ""🚀"", ""description"": ""Bypass midfield entirely, defend and attack direct"", ""score"": 0.092}, {""rank"": 2, ""code"": ""counter"", ""name"": ""Counter-Attack"", ""category"": ""counter"", ""emoji"": ""⚡"", ""description"": ""Absorb pressure, strike fast on the break"", ""score"": 0.078}, {""rank"": 3, ""code"": ""heritage"", ""name"": ""Heritage Football"", ""category"": ""fan"", ""emoji"": ""🪨"", ""description"": ""Old-school physical, long balls and grit"", ""score"": 0.063}, {""rank"": 4, ""code"": ""low_counter"", ""name"": ""Low Block Counter"", ""category"": ""counter"", ""emoji"": ""🏹"", ""description"": ""Deep defense with rapid forward outlets"", ""score"": 0.06}]",31,19,5,7,61.3,1.68,1.03,52.0,11.94,4.65,1.58,1.05,5.1,2.29,0.0,11.39,38.7,48.4,58.1,71.0,22.6,1.0,0.43,339,FC CSKA 1948 Sofia
367,Aleksandar Stanojević,A. Stanojević,Serbia,4-2-3-1,"{'4-3-3': 1, '4-4-2': 10, '4-2-3-1': 17, '4-3-1-2': 1, '4-4-1-1': 2}",defensive,neutral,0.37654744723569644,mid,"[{""rank"": 1, ""code"": ""terrorist_fb"", ""name"": ""Terrorist Football"", ""category"": ""fan"", ""emoji"": ""💣"", ""description"": ""Ultra-negative setup — destroy the game"", ""score"": 0.159}, {""rank"": 2, ""code"": ""park_the_bus"", ""name"": ""Park the Bus"", ""category"": ""defensive"", ""emoji"": ""🚌"", ""description"": ""Ultra-deep defense, minimal attacking intent"", ""score"": 0.085}, {""rank"": 3, ""code"": ""anti_football"", ""name"": ""Anti-Football"", ""category"": ""defensive"", ""emoji"": ""⏱"", ""description"": ""Time-wasting, fouling, disrupting rhythm"", ""score"": 0.058}, {""rank"": 4, ""code"": ""inverted_fb"", ""name"": ""Inverted Fullbacks"", ""category"": ""possession"", ""emoji"": ""↩"", ""description"": ""Fullbacks step into midfield to overload centre"", ""score"": 0.045}]",31,5,6,20,16.1,0.87,1.71,45.45,10.74,3.26,1.0,1.5,3.77,1.61,0.06,13.58,16.1,48.4,48.4,80.6,41.9,0.44,0.72,193,Fatih Karagümrük
232,Aleksandar Vuković,A. Vuković,Serbia,4-3-3,"{'3-4-3': 2, '4-3-3': 10, '4-4-2': 6, '3-4-2-1': 1, '4-1-4-1': 6, '4-2-3-1': 3}",balanced,neutral,0.7318344639523205,mid,"[{""rank"": 1, ""code"": ""gegenpressing"", ""name"": ""Gegenpressing"", ""category"": ""pressing"", ""emoji"": ""💨"", ""description"": ""Immediate press after losing the ball"", ""score"": 0.129}, {""rank"": 2, ""code"": ""man_press"", ""name"": ""Man-Oriented Press"", ""category"": ""pressing"", ""emoji"": ""🎯"", ""description"": ""Players follow their direct opponents everywhere"", ""score"": 0.127}, {""rank"": 3, ""code"": ""high_press"", ""name"": ""High Press"", ""category"": ""pressing"", ""emoji"": ""🔥"", ""description"": ""Press defenders and keeper aggressively high up"", ""score"": 0.109}, {""rank"": 4, ""code"": ""cross_pray"", ""name"": ""Cross & Pray"", ""category"": ""wide"", ""emoji"": ""🙏"", ""description"": ""High-volume hopeful crosses into the box"", ""score"": 0.089}]",34,11,9,14,32.4,1.18,1.18,46.54,12.17,3.31,1.06,0.9,4.38,2.88,0.0,16.54,35.3,50.0,44.1,67.6,26.5,0.35,0.24,423,Widzew Łódź
622,Aleksandr Shagojko,A. Shagojko,Belarus,,{},balanced,soft,,,[],2,0,1,1,0.0,1.0,1.5,,,,,,,,,,0.0,50.0,50.0,50.0,50.0,,,388,Dinamo Minsk
442,Alessio Lisci,A. Lisci,Italy,4-2-3-1,"{'3-4-3': 7, '3-5-2': 2, '4-4-2': 1, '5-4-1': 1, '3-1-4-2': 1, '3-4-2-1': 2, '4-1-3-2': 1, '4-2-3-1': 18}",balanced,neutral,0.3214842094083007,high,"[{""rank"": 1, ""code"": ""terrorist_fb"", ""name"": ""Terrorist Football"", ""category"": ""fan"", ""emoji"": ""💣"", ""description"": ""Ultra-negative setup — destroy the game"", ""score"": 0.106}, {""rank"": 2, ""code"": ""cross_pray"", ""name"": ""Cross & Pray"", ""category"": ""wide"", ""emoji"": ""🙏"", ""description"": ""High-volume hopeful crosses into the box"", ""score"": 0.074}, {""rank"": 3, ""code"": ""anti_football"", ""name"": ""Anti-Football"", ""category"": ""defensive"", ""emoji"": ""⏱"", ""description"": ""Time-wasting, fouling, disrupting rhythm"", ""score"": 0.073}, {""rank"": 4, ""code"": ""wing_play"", ""name"": ""Wing Play"", ""category"": ""wide"", ""emoji"": ""🪽"", ""description"": ""Attacks focused through wide areas"", ""score"": 0.055}]",37,13,11,13,35.1,1.41,1.24,46.79,11.36,3.82,1.17,1.27,3.55,2.38,0.12,13.36,21.6,54.1,48.6,70.3,29.7,0.67,0.46,58,Osasuna
386,Alexander Blessin,A. Blessin,Germany,3-4-2-1,"{'3-4-3': 2, '3-5-2': 1, '5-4-1': 2, '3-4-1-2': 9, '3-4-2-1': 17}",defensive,neutral,0.28559951373967185,high,"[{""rank"": 1, ""code"": ""set_piece"", ""name"": ""Set-Piece Reliant"", ""category"": ""defensive"", ""emoji"": ""🎯"", ""description"": ""Goals mainly from corners and free kicks"", ""score"": 0.134}, {""rank"": 2, ""code"": ""ball_dominant"", ""name"": ""Ball Dominant"", ""category"": ""possession"", ""emoji"": ""⚽"", ""description"": ""Keep the ball to control tempo and energy"", ""score"": 0.121}, {""rank"": 3, ""code"": ""territory"", ""name"": ""Territory Control"", ""category"": ""possession"", ""emoji"": ""🗺"", ""description"": ""Pin opponent deep rather than shoot often"", ""score"": 0.057}, {""rank"": 4, ""code"": ""positional"", ""name"": ""Positional Play"", ""category"": ""possession"", ""emoji"": ""♟"", ""description"": ""Zone occupation and overloads"", ""score"": 0.053}]",35,7,10,18,20.0,0.83,1.66,44.47,10.12,3.25,0.86,1.55,4.53,1.62,0.04,9.75,17.1,51.4,51.4,80.0,42.9,0.42,0.42,91,FC St. Pauli
1202,Alexander Ende,A. Ende,Germany,,,,,,,[],0,0,0,0,,,,,,,,,,,,,,,,,,,,1291,Fortuna Düsseldorf
517,Alexander Medina,A. Medina,Uruguay,4-4-2,{'4-4-2': 1},balanced,hard,,,[],1,0,1,0,0.0,1.0,1.0,36.0,9.0,4.0,0.26,0.59,1.0,6.0,0.0,16.0,0.0,100.0,0.0,100.0,0.0,1.0,0.0,787,Estudiantes de La Plata
810,Alexander Rubin,A. Rubin,Sweden,3-4-3,{'3-4-3': 5},attacking,soft,0.6002101313510066,high,"[{""rank"": 1, ""code"": ""ball_dominant"", ""name"": ""Ball Dominant"", ""category"": ""possession"", ""emoji"": ""⚽"", ""description"": ""Keep the ball to control tempo and energy"", ""score"": 0.116}, {""rank"": 2, ""code"": ""terrorist_fb"", ""name"": ""Terrorist Football"", ""category"": ""fan"", ""emoji"": ""💣"", ""description"": ""Ultra-negative setup — destroy the game"", ""score"": 0.103}, {""rank"": 3, ""code"": ""gegenpressing"", ""name"": ""Gegenpressing"", ""category"": ""pressing"", ""emoji"": ""💨"", ""description"": ""Immediate press after losing the ball"", ""score"": 0.084}, {""rank"": 4, ""code"": ""moments_fc"", ""name"": ""Moments FC"", ""category"": ""fan"", ""emoji"": ""⭐"", ""description"": ""Relies entirely on individual star brilliance"", ""score"": 0.064}]",5,2,2,1,40.0,1.8,2.0,46.2,10.2,4.0,0.59,1.31,6.4,1.2,0.0,14.2,20.0,80.0,80.0,80.0,0.0,0.8,1.0,1054,Västerås SK
221,Alexander Tunchev,A. Tunchev,Bulgaria,4-2-3-1,"{'4-3-3': 1, '4-4-2': 13, '4-2-3-1': 15}",balanced,neutral,0.33044130080502565,high,"[{""rank"": 1, ""code"": ""no_midfield"", ""name"": ""No Midfield Just Vibes"", ""category"": ""fan"", ""emoji"": ""🚀"", ""description"": ""Bypass midfield entirely, defend and attack direct"", ""score"": 0.145}, {""rank"": 2, ""code"": ""heritage"", ""name"": ""Heritage Football"", ""category"": ""fan"", ""emoji"": ""🪨"", ""description"": ""Old-school physical, long balls and grit"", ""score"": 0.087}, {""rank"": 3, ""code"": ""vertical"", ""name"": ""Vertical Football"", ""category"": ""counter"", ""emoji"": ""↕"", ""description"": ""Forward passes prioritised over possession"", ""score"": 0.074}, {""rank"": 4, ""code"": ""moments_fc"", ""name"": ""Moments FC"", ""category"": ""fan"", ""emoji"": ""⭐"", ""description"": ""Relies entirely on individual star brilliance"", ""score"": 0.059}]",31,12,8,11,38.7,1.06,0.94,52.5,11.13,4.07,1.22,0.96,4.13,1.93,0.21,12.0,41.9,25.8,32.3,58.1,48.4,0.57,0.36,340,Arda Kardzhali
379,Alexandre Dujeux,A. Dujeux,France,4-2-3-1,"{'3-5-2': 4, '4-3-3': 2, '4-4-2': 1, '5-3-2': 4, '3-4-2-1': 1, '4-2-3-1': 19}",defensive,neutral,0.2924819957690036,mid,"[{""rank"": 1, ""code"": ""park_the_bus"", ""name"": ""Park the Bus"", ""category"": ""defensive"", ""emoji"": ""🚌"", ""description"": ""Ultra-deep defense, minimal attacking intent"", ""score"": 0.328}, {""rank"": 2, ""code"": ""terrorist_fb"", ""name"": ""Terrorist Football"", ""category"": ""fan"", ""emoji"": ""💣"", ""description"": ""Ultra-negative setup — destroy the game"", ""score"": 0.167}, {""rank"": 3, ""code"": ""low_block"", ""name"": ""Low Block"", ""category"": ""defensive"", ""emoji"": ""🛡"", ""description"": ""Compact defensive shape near own box"", ""score"": 0.13}, {""rank"": 4, ""code"": ""low_counter"", ""name"": ""Low Block Counter"", ""category"": ""counter"", ""emoji"": ""🏹"", ""description"": ""Deep defense with rapid forward outlets"", ""score"": 0.045}]",33,9,9,15,27.3,0.82,1.33,42.16,9.1,3.32,0.91,1.61,3.52,1.55,0.0,11.26,33.3,36.4,27.3,60.6,39.4,0.25,0.8,107,Angers
769,Alexandre Gallo,A. Gallo,Brazil,3-4-3,{'3-4-3': 1},defensive,neutral,,,[],1,0,0,1,0.0,0.0,1.0,,,,,,,2.0,0.0,,0.0,0.0,0.0,0.0,100.0,0.0,1.0,854,Azuriz
774,Alexandre Paes  Lopes,A. P. Lopes,,4-2-3-1,{'4-2-3-1': 2},attacking,neutral,,,[],2,1,0,1,50.0,3.0,3.0,,,,,,,2.5,0.0,,0.0,100.0,100.0,100.0,0.0,2.0,0.5,839,Tuna Luso
